Título;Resumen;Páginas
BUENAS PALABRAS 4;;0
BUENAS PALABRAS 5;;0
BUENAS PALABRAS 6;;0
BUENAS PALABRAS 7;;0
Cuentos con historieta 1;;0
Cuentos con historieta 2;;0
Cuentos con historieta 3;;0
Cuentos con historieta 4;;0
El libro de los gnomos, los gigantes y los duendes;"El volumen se inicia con una aventura de Grillo Topo, el personaje que da nombre a la colección. En este caso, se trata del cuento “Juegos en el jardín”, en el que Grillo Topo relata cómo logró ayudar a sus vecinos, organizando una competencia deportiva entre bichos. Después invita a los chicos a leer algunos cuentos protagonizados por singulares personajes: gnomos, duendes y gigantes.
Se incluyen cuatro cuentos populares en versiones especialmente escritas para los primeros lectores: “El cerro de los años nuevos”, “Juan el cazagigantes”, “Rupelstikin” y “Viaje a la tierra de los gigantes”. Son relatos maravillosos pertenecientes a la tradición literaria universal en los que se manifiestan sus características típicas tan valoradas por chicos y grandes.
El volumen se cierra con una propuesta de juegos en los que, indirectamente, se apela a la comprensión de los cuentos leídos.
Esta cuidada edición tiene en cuenta la edad de los lectores, tanto en el contenido como en la calidad y cantidad de sus ilustraciones, realizadas por Soledad Otero.";52
La niña de oro;"El volumen se inicia con una aventura de Grillo Topo, el personaje que da nombre a la colección. En este caso, se trata del cuento “Diez razones para no usar insecticida Topín”, en el que Grillo Topo relata sus peripecias en el jardín en el que vive y luego invita a los chicos a leer uno de sus cuentos favoritos: “La niña de oro”. 
“La niña de oro” es una versión del cuento “La ambición del oro”, de Nathaniel Hawthorne, que a su vez se basa en el mito del rey Midas. 
La historia, narrada con humor y ternura, presenta a un rey Midas atemporal y humano, y plantea los temas de la codicia, la ambición desmedida y el valor de lo sencillo y cotidiano. El triunfo del amor de Midas por su hija da a la historia un final feliz y aleccionador. 
El volumen se cierra con una propuesta de juegos en los que, indirectamente, se apela a la comprensión del cuento leído.
Esta cuidada edición tiene en cuenta la edad de los lectores, tanto en el contenido como en la calidad y cantidad de sus ilustraciones, realizadas por Horacio Gatto.";48
Historia de Malik y Luna Llena;"El volumen se inicia con una aventura del personaje que da nombre a la colección: Grillo Topo. En este caso, se trata de un cuento en el que Grillo Topo se presenta, relata sus primeras andanzas e invita a los chicos a continuar con la lectura de “La historia de Malik y Luna Llena”. 
“La historia de Malik y Luna Llena” es una versión de un cuento de Las mil y una noches especialmente adaptada para los primeros lectores. Se trata de un cuento largo por lo que, para facilitar su lectura, se ha dividido en capítulos. 
En este relato, ambientado en un mundo maravilloso poblado por genios, los dos jóvenes protagonistas viven una serie de intrincadas aventuras, encuentros y desencuentros, hasta lograr reunirse en un final feliz. 
El volumen se cierra con una propuesta de juegos en los que, indirectamente, se apela a la comprensión del cuento leído.
Esta cuidada edición tiene en cuenta la edad de los lectores, tanto en el contenido como en la calidad y cantidad de sus ilustraciones, realizadas por Victoria Assanelli.";72
El cascanueces y el rey de los ratones;;0
Cuentos + cuentos;;0
Sección policiales;;0
Callejón sin salida;;0
El Gigante Amapolas + El matadero;;100
Prometeo encadenado + Una libra de carne;;136
Los libros sagrados - Mitología griega;;0
